Company,Company Country,India Investment Location,Region,Year,Month,Date,Category,Investment ($),Investmen(INR),Description,Link,State Investment/Variety Notes,Partnership
Microsoft,United States,Uttar Pradesh,Test,2021,January,21-Jan,Technology/Electronics,,,Microsoft India Development Center Inspired by Taj Mahal Established in Noida,https://gadgets.ndtv.com/laptops/news/microsoft-india-development-center-idc-taj-mahal-established-noida-delhi-ncr-india-2359455,,
Webley & Scott,United Kingdom,Uttar Pradesh,Test,2021,January,21-Jan,Military/Space,,,Webley & Scott to launch 'Made in India' revolvers,https://economictimes.indiatimes.com/news/defence/webley-scott-to-launch-made-in-india-revolvers/articleshow/80500503.cms,,
VVDN Technologies,India,India,Test,2021,January,21-Jan,Technology/Electronics,,,"VVDN starts CKD manufacturing for 5G, Wi-Fi in India",https://telecom.economictimes.indiatimes.com/news/vvdn-starts-ckd-manufacturing-for-5g-wi-fi-in-india/80497479,,
SAP,Germany,India,,2021,January,21-Jan,Technology/Electronics,"$68,577,250.00","5,000,000,000.00",SAP to invest Rs 500 crore to accelerate its multi-cloud strategy in India,https://www.business-standard.com/article/international/sap-to-invest-rs-500-crore-to-accelerate-its-multi-cloud-strategy-in-india-121010700552_1.html,,
Nalco,India,India,,2021,January,21-Jan,Industry,"$4,114,635,000.00","300,000,000,000.00","Nalco to invest Rs 30,000 crore on expansion by 2027-28: Pralhad Joshi",https://www.business-standard.com/article/economy-policy/nalco-to-invest-rs-30-000-crore-on-expansion-by-2027-28-pralhad-joshi-121010701045_1.html,,
Terra Motors,Japan,Assam,Northeast,2021,February,21-Feb,Automobiles,"$1,371,545.00","100,000,000.00",Terra Motors to adopt “Make in India” for its electric vehicles: To invest in this north-east state,https://www.financialexpress.com/auto/commercial-vehicles/terra-motors-to-adopt-make-in-india-for-its-electric-vehicles-to-invest-in-this-north-east-state/2200932/,,
Amara Raja,India,Andhra Pradesh,South,2021,February,21-Feb,Industry,"$2,743,090.00","200,000,000.00",Amara Raja sets up research hub to develop lithium-ion cells at Tirupati,https://www.businesstoday.in/current/corporate/amara-raja-sets-up-research-hub-to-develop-lithium-ion-cells-at-tirupati/story/431895.html,,
Techno Paints,India,Telangana,South,2021,February,21-Feb,General Goods,"$3,428,862.50","250,000,000.00",Techno Paints to set up new facility in Hyderabad,https://economictimes.indiatimes.com/industry/cons-products/paints/techno-paints-to-set-up-new-facility-in-hyderabad/articleshow/80879912.cms,,
Grinntech,India,Tamil Nadu,South,2021,February,21-Feb,Automobiles,"$13,715,450.00","1,000,000,000.00",Li-ion battery production starts in Chennai,https://www.constructionworld.in/energy-infrastructure/power-and-renewable-energy/li-ion-battery-production-starts-in-chennai-/25528,,
Indian Angel Network,India,India,,2021,February,21-Feb,Technology/Electronics,"$13,715,450.00","1,000,000,000.00",Indian Angel Network plans to invest over Rs 100 cr in start-ups in 2021,https://www.business-standard.com/article/companies/indian-angel-network-plans-to-invest-over-rs-100-cr-in-start-ups-in-2021-121021500198_1.html,,
Google,United States,Businesses/Startups,,2021,February,21-Feb,Businesses/Startups,"$15,000,000.00","1,093,657,500.00","Google to invest $15 million to support small, micro enterprises in India",https://www.thenewsminute.com/article/google-invest-15-million-support-small-micro-enterprises-india-143643,,
Ather Energy,India,Tamil Nadu,South,2021,February,21-Feb,Automobiles,"$17,830,085.00","1,300,000,000.00",Ather Energy's new Hosur Factory Visit: How two of India's best electric scooters are made,https://www.financialexpress.com/auto/electric-vehicles/ather-energys-new-hosur-factory-plant-visit-how-two-of-indias-best-electric-scooters-450x-450-plus-are-made/2202363/,,
Inflection Point Ventures,India,India,,2021,February,21-Feb,Businesses/Startups,"$20,000,000.00","1,458,210,000.00",Inflection Point Ventures to invest $20 mn in start-ups in India this year,https://www.livemint.com/companies/news/inflection-point-ventures-to-invest-20-mn-in-start-ups-in-india-this-year-11614510323279.html,,
Havells,India,Andhra Pradesh,South,2021,February,21-Feb,General Goods,"$34,288,625.00","2,500,000,000.00",Havells India plans to set up new AC manufacturing plant at Chittoor,https://www.business-standard.com/article/news-cm/havells-india-plans-to-set-up-new-ac-manufacturing-plant-at-chittoor-121021201354_1.html,,
Schwing Stetter,Germany,Tamil Nadu,South,2021,February,21-Feb,Industry,"$41,146,350.00","3,000,000,000.00",Schwing Stetter commissions Rs 300 crore factory,https://www.newindianexpress.com/business/2021/feb/14/schwing-stettercommissions-rs-300-cr-factory-2263684.html,,
Essar Power,India,Madhya Pradesh,Central,2021,February,21-Feb,Infrastructure,"$41,146,350.00","3,000,000,000.00",Essar Power to set up 90 MW solar plant in Madhya Pradesh for Rs 300 crore,https://economictimes.indiatimes.com/industry/energy/power/essar-power-to-set-up-90-mw-solar-plant-in-madhya-pradesh-for-rs-300-crore/articleshow/81188627.cms,,
FundVice,India,Businesses/Startups,,2021,February,21-Feb,Businesses/Startups,"$45,260,985.00","3,300,000,000.00",FundVice to support startups in India with Rs 330 crore fund,https://economictimes.indiatimes.com/tech/funding/fundvice-to-support-startups-in-india-with-rs-330-crore-fund/articleshow/81232404.cms,,
Premier Energies,India,Telangana,South,2021,February,21-Feb,Industry,"$66,245,623.50","4,830,000,000.00",Premier Energies to set up Rs 483 crore solar cell facility in Hyderabad,https://economictimes.indiatimes.com/industry/energy/power/premier-energies-to-set-up-rs-483-crore-solar-cell-facility-in-hyderabad/articleshow/80787634.cms,,
Yanmar,Japan,Tamil Nadu,South,2021,February,21-Feb,Automobiles,"$68,577,250.00","5,000,000,000.00",Japanese group Yanmar sets up its first diesel engine making unit in India,https://www.business-standard.com/article/companies/japanese-group-yanmar-sets-up-its-first-diesel-engine-making-unit-in-india-121021600910_1.html,,
Mankind,India,Gujarat,West,2021,February,21-Feb,R&D/Medical,"$68,577,250.00","5,000,000,000.00",Mankind to set up Rs 500 crore plant in Gujarat,https://timesofindia.indiatimes.com/city/ahmedabad/mankind-to-set-up-rs-500-cr-plant-in-state/articleshow/81236662.cms,,
Bosch,Germany,India,,2021,February,21-Feb,General Goods,"$82,292,700.00","6,000,000,000.00",BSH to invest around Rs 600 crore to roll out India specific products,https://economictimes.indiatimes.com/industry/cons-products/durables/bsh-to-invest-around-rs-600-crore-to-roll-out-india-specific-products/articleshow/81187653.cms,,
Ather Energy,India,India,,2021,February,21-Feb,Automobiles,"$88,464,652.50","6,450,000,000.00",Ather Energy announces Rs 635 crore investment: Expansion to 40 cities by 2021 end,https://www.financialexpress.com/auto/electric-vehicles/ather-energy-announces-rs-635-crore-investment-expansion-40-cities-2021-end-450-plus-450x-electric-scooter-launch-details-delhi-ncr-price/2193632/,,
Ampere Electric,India,Tamil Nadu,South,2021,February,21-Feb,Automobiles,"$96,008,150.00","7,000,000,000.00",Ampere Electric to invest INR 700 crore in EV manufacturing plant in Tamil Nadu,https://auto.economictimes.indiatimes.com/news/industry/ampere-electric-to-invest-inr-700-crore-in-ev-manufacturing-plant-in-tamil-nadu/80987690,,
Creation Investments,United States,India,,2021,February,21-Feb,General Goods,"$100,000,000.00","7,291,050,000.00",Creation Investments sets up debt fund to invest $100 million in India,https://economictimes.indiatimes.com/tech/startups/creation-investments-sets-up-debt-fund-to-invest-100-million-in-india/articleshow/81048414.cms,,
Variety,Variety,Variety,,2021,February,21-Feb,R&D/Medical,"$100,072,037.84","7,296,300,000.00","Siemens, Wipro GE, Sahajanand, Nipro Among Firms Selected Under Rs. 3420 cr PLI Scheme For Domestic Manufacturing Of Medical Devices",https://swarajyamag.com/insta/siemenswipro-gesahajanandnipro-among-firms-selected-under-rs-3420-cr-pli-scheme-for-domestic-manufacturing-of-medical-devices,,
World Bank,International,West Bengal,East,2021,February,21-Feb,Infrastructure,"$105,350,000.00","7,681,121,175.00",Kolkata: World Bank to fund river transport upgrade,https://m.timesofindia.com/city/kolkata/world-bank-to-fund-river-transport-upgrade/amp_articleshow/80755822.cms,,
GreenCell,India,Uttar Pradesh,North,2021,February,21-Feb,Automobiles,"$105,350,000.00","4,000,000,000.00",GreenCell to invest Rs 400 cr in PMI Electro consortium to deploy 350 e-buses in UP,https://www.constructionweekonline.in/business/16586-greencell-to-invest-rs-400-cr-in-pmi-electro-consortium-to-deploy-350-e-buses-in-up,,
Granules India,India,Telangana,South,2021,February,21-Feb,R&D/Medical,"$109,723,600.00","8,000,000,000.00",Granules India to invest ₹800 cr. in expansion,https://www.thehindu.com/business/Industry/granules-india-to-invest-800-cr-in-expansion/article33785968.ece,,
Bosch,Germany,Karnataka,South,2021,February,21-Feb,Technology/Electronics,"$109,723,600.00","8,000,000,000.00",Bosch investing Rs 800 crore to upgrade Bengaluru facility to fully AIoT-enabled campus,https://economictimes.indiatimes.com/industry/cons-products/durables/bosch-investing-rs-800-crore-to-upgrade-bengaluru-facility-to-fully-aiot-enabled-campus/articleshow/81190873.cms,,
Uflex,India,Karnataka,South,2021,February,21-Feb,Infrastructure,"$116,581,325.00","8,500,000,000.00",Uflex to invest Rs 850 cr to set up new greenfield plant in Karnataka,https://www.outlookindia.com/newsscroll/uflex-to-invest-rs-850-cr-to-set-up-new-greenfield-plant-in-karnataka/2028549,,
Gulshan Group,India,Uttar Pradesh,North,2021,February,21-Feb,Infrastructure,"$128,376,612.00","9,360,000,000.00","Realty developer Gulshan group to invest Rs 936 crore in 1,888 flats in Noida",https://economictimes.indiatimes.com/industry/services/property-/-cstruction/realty-developer-gulshan-group-to-invest-rs-936-crore-in-1888-flats-in-noida/articleshow/80837228.cms,,
Asian Development Bank,International,Gujarat,West,2021,February,21-Feb,Technology/Electronics,"$137,154,500.00","10,000,000,000.00",Asian Development Bank in talks to set up fintech hub at GIFT City,https://economictimes.indiatimes.com/tech/startups/budget-2021-asian-development-bank-in-talks-to-set-up-fintech-hub-at-gift-city/articleshow/80656738.cms,,
Fujifilm,Japan,India,,2021,February,21-Feb,R&D/Medical,"$200,000,000.00","14,582,100,000.00",Fujifilm to invest $200 mn to open 100 health-screening centres in India,https://www.business-standard.com/article/companies/fujifilm-to-invest-200-mn-to-open-100-health-screening-centres-in-india-121020402058_1.html,,
Hyundai,South Korea,India,,2021,February,21-Feb,Automobiles,"$200,000,000.00","14,582,100,000.00",Hyundai to invest $200 mn to build localised EVs for mass market in India,https://www.business-standard.com/article/companies/hyundai-to-invest-200-mn-to-build-localised-evs-for-mass-market-in-india-121021701179_1.html,,
Tata Consultancy Services,India,Kerala,South,2021,February,21-Feb,Infrastructure,"$205,731,750.00","15,000,000,000.00","TCS to invest up to Rs 1,500 cr in Thiruvananthapuram Technocity",https://www.deccanherald.com/national/south/tcs-to-invest-up-to-rs-1500-cr-in-thiruvananthapuram-technocity-947193.html,,
Inox Air Products,India,India,,2021,February,21-Feb,Industry,"$274,309,000.00","20,000,000,000.00",Inox Air Products to invest ₹2000 crore to expand capacity,https://www.livemint.com/companies/news/inox-air-products-to-invest-rs-2000-crore-to-expand-capacity-11613739990591.html,,
Embassy Group,India,India,,2021,February,21-Feb,Infrastructure,"$315,455,350.00","23,000,000,000.00","Embassy REIT to invest ₹2,300 crore to develop nearly 6 million sq ft commercial space",https://www.livemint.com/companies/news/embassy-reit-to-invest-rs-2-300-crore-to-develop-nearly-6-million-sq-ft-commercial-space-11613131274022.html,,
Variety,Variety,Karnataka,South,2021,February,21-Feb,Military/Space,"$342,886,250.00","25,000,000,000.00","34 aerospace, defence firms plan to invest nearly Rs 2,500 cr in Karnataka",https://www.business-standard.com/article/companies/34-aerospace-defence-firms-plan-investments-worth-rs-2-464-cr-in-karnataka-121020700587_1.html,,
Infosys,India,Telangana,South,2021,February,21-Feb,Technology/Electronics,"$342,886,250.00","25,000,000,000.00","Infosys to invest Rs 2500 crore in Hyderabad facility, will add 20,000 jobs",https://www.newindianexpress.com/states/telangana/2021/feb/21/infosys-to-invest-rs-2500-crore-in-hyderabad-facility-will-add-20000-jobs-2266766.html,,
Adani,India,Uttar Pradesh,North,2021,February,21-Feb,Technology/Electronics,"$342,886,250.00","25,000,000,000.00","Adani group to invest Rs 2,500 crore in setting up a data centre, says Noida authority",https://economictimes.indiatimes.com/industry/services/property-/-cstruction/adani-group-to-invest-rs-2500-crore-in-setting-up-a-data-centre-says-noida-authority/articleshow/81185744.cms?from=mdr,,
AG&P,Singapore,Tamil Nadu,South,2021,February,21-Feb,Infrastructure,"$370,317,150.00","27,000,000,000.00","AG&P to invest Rs 2,700 cr on City Gas Distribution infra in Tamil Nadu",https://www.business-standard.com/article/companies/ag-p-to-invest-rs-2-700-cr-on-city-gas-distribution-infra-in-tamil-nadu-121021600873_1.html?1613474810,,
Aurobindo Pharma,India,India,,2021,February,21-Feb,R&D/Medical,"$411,463,500.00","30,000,000,000.00",Aurobindo to go big on API manufacturing,https://www.livemint.com/companies/company-results/aurobindo-to-go-big-on-api-manufacturing-11613324257680.html,,
Hyundai,South Korea,India,,2021,February,21-Feb,Automobiles,"$438,894,400.00","32,000,000,000.00","Hyundai lines up Rs 3,200 crore to ramp up India portfolio",https://economictimes.indiatimes.com/industry/auto/cars-uvs/hyundai-lines-up-rs-3200-crore-to-ramp-up-india-portfolio/articleshow/81083497.cms?utm_source=ETTopNews&utm_medium=HP&utm_campaign=TN&utm_content=23,,
Aequs,India,Karnataka,South,2021,February,21-Feb,General Goods,"$500,000,000.00","36,455,250,000.00",Aequs To Invest $500 Million To Set Up India's First Toy Manufacturing Cluster In Karnataka's Koppal,https://swarajyamag.com/insta/aequs-to-invest-500-million-to-set-up-indias-first-toy-manufacturing-cluster-in-karnatakas-koppal,,
"Suzuki, Toshiba, Denso",Japan,Gujarat,West,2021,February,21-Feb,Automobiles,"$676,171,685.00","49,300,000,000.00","Japanese Firms Suzuki, Toshiba And Denso To Turn Their Li-Ion Battery Manufacturing Plant In Gujarat Into An Export Hub",https://swarajyamag.com/insta/japanese-firms-suzuki-toshiba-and-denso-to-turn-their-li-ion-battery-manufacturing-plant-in-gujarat-into-an-export-hub,,
Variety,Variety,Uttar Pradesh,North,2021,February,21-Feb,State Investment,"$685,772,500.00","50,000,000,000.00","UP set to sign 17 MoUs worth Rs 5,000 crore at Aero India",https://www.newindianexpress.com/nation/2021/feb/03/up-set-to-sign-17-mous-worth-rs-5000-crore-at-aero-india-2259059.html,"-According to Tandon, a total of 21 companies have invested around Rs 10,000 crore and, besides this, more than 30 companies invested about Rs 32,000 crore in electronic manufacturing.

-He also informed that Sparsh Industries Private Limited invested Rs 600 crore, Rimjhim Ispat invested Rs 550 crore in Kanpur Dehaat in the manufacturing sector. Apart from this, Kent RO systems Limited invested Rs 300 crore in Noida and PTC Industries Limted invested Rs 205 crore in Lucknow, and MM Forgings invested Rs 150 crore in Barabanki.

-""Some of the companies that invested in electronic manufacturing are World Trade Centre, Vivo Mobiles, OPPO Mobiles India Private Limited, Holitech India Private Limited, Sunvoda Electronic India Private Limited, etc.,"" he said.

-He said that textile sector also bore good results due to policy changes.In this sector, four companies invested Rs 6,320 crore. Due to these investments, Kanpur has emerged as a big textile hub. The proposal to make Gorakhpur a textile hub has also got the green signal.

    ",
Ikea,Sweden,Uttar Pradesh,North,2021,February,21-Feb,General Goods,"$754,349,750.00","55,000,000,000.00","Ikea arm to set up first shopping mall in India for Rs 5,500 cr",https://www.business-standard.com/article/companies/ikea-arm-to-set-up-first-shopping-mall-in-india-for-rs-5-500-cr-121021901114_1.html,,
Bharat Petroleum,India,Kerala,South,2021,February,21-Feb,Industry,"$822,927,000.00","60,000,000,000.00","PM Modi dedicates to nation oil major BPCL's ₹6,000 crore petrochemical complex in Kochi",https://www.thehindu.com/news/national/kerala/pm-modi-dedicates-to-nation-oil-major-bpcls-6000-crore-petrochemical-complex-in-kochi/article33834995.ece,,
IBM,United States,India,,2021,February,21-Feb,Technology/Electronics,"$1,000,000,000.00","72,910,500,000.00",Tech Mahindra and IBM to create $1 bn ecosystem together,https://www.livemint.com/companies/news/ibm-tech-mahindra-partner-to-create-1-billion-ecosystem-in-3-years-11613484234338.html,,
Lulu Group,United Arab Emirates,Kerala,South,2021,February,21-Feb,General Goods,"$1,097,236,000.00","80,000,000,000.00","UAE's Lulu Group to invest Rs 8,000 crore in retail, food export operations from Kerala",https://www.cnbctv18.com/retail/uaes-lulu-group-to-invest-rs-8000-crore-in-retail-food-export-operations-from-kerala-8196721.htm,,
Hiranandani Group,India,West Bengal,East,2021,February,21-Feb,Technology/Electronics,"$1,165,813,250.00","85,000,000,000.00","Hiranandani Group To Invest Rs 8,500 Crore For Industrial-Data Centre Park In West Bengal",https://www.bloombergquint.com/business/hiranandani-group-to-invest-rs-8-500-cr-to-develop-industrial-data-centre-park-in-west-bengal,,
Adani,India,Maharashtra,West,2021,February,21-Feb,Infrastructure,"$1,371,545,000.00","100,000,000,000.00","Adani Ports to invest Rs 10,000 crore to develop Dighi Port",https://timesofindia.indiatimes.com/business/india-business/adani-ports-to-invest-rs-10000-crore-to-develop-dighi-port/articleshow/80999330.cms,,
JSW Group,India,India,,2021,February,21-Feb,Infrastructure,"$1,508,699,500.00","110,000,000,000.00","JSW Energy to invest ₹11,000 cr in fresh capacity of 1,800 MW",https://www.thehindubusinessline.com/companies/jsw-energy-to-invest-11000-cr-in-fresh-capacity-of-1800-mw/article33862447.ece,,
Indian Oil,India,Haryana,North,2021,February,21-Feb,Industry,"$4,518,692,157.00","329,460,000,000.00","Indian Oil to expand Panipat refinery with capex of Rs 32,946 crore",https://www.business-standard.com/article/companies/indian-oil-to-expand-panipat-refinery-with-capex-of-rs-32-946-crore-121022700245_1.html,,
MBDA,European Union,India,Test,2021,February,21-Feb,Military/Space,,,Aero-India 2021: European company MBDA focuses on Make in India,https://www.financialexpress.com/defence/aero-india-2021-european-company-mbda-focuses-on-make-in-india/2185712/,,
Tata Boeing Aerospace,India,Telangana,Test,2021,February,21-Feb,Military/Space,,,Tata Boeing Aerospace Limited to manufacture 737 vertical fin structures,https://timesofindia.indiatimes.com/business/india-business/tata-boeing-aerospace-limited-to-manufacture-737-vertical-fin-structures/articleshow/80703860.cms,,
ITC,India,Businesses/Startups,Test,2021,February,21-Feb,R&D/Medical,,,ITC sets up Young Digital Innovators Lab,https://www.livemint.com/companies/news/itc-sets-up-young-digital-innovators-lab-11612682349428.html,,
Linode,United States,Telangana,Test,2021,February,21-Feb,Technology/Electronics,,,India to be Asia's R&D hub for Linode,https://telanganatoday.com/india-to-be-asias-rd-hub-for-linode,,
Crown Group,India,Tamil Nadu,Test,2021,February,21-Feb,Military/Space,,,Crown Group signs MoU with TIDCO to develop aerospace cluster near Salem airport in Tamil Nadu,https://www.moneycontrol.com/news/business/crown-group-signs-mou-with-tidco-to-develop-aerospace-cluster-near-salem-airport-in-tamil-nadu-6446241.html,,
Sandvik,Sweden,Gujarat,Test,2021,February,21-Feb,General Goods,,,"Sandvik to Invest in New Hydraulic and Instrumentation Tubing Factory in Mehsana, India",https://www.prnewswire.com/in/news-releases/sandvik-to-invest-in-new-hydraulic-and-instrumentation-tubing-factory-in-mehsana-india-845749886.html,,
Lenovo,China,India,Test,2021,February,21-Feb,Technology/Electronics,,,Tech giant Lenovo to set up 100 exclusive stores in India in FY22,https://www.business-standard.com/article/international/tech-giant-lenovo-to-set-up-100-exclusive-stores-in-india-in-fy22-121021001264_1.html,,
Tesla,United States,Karnataka,South,2021,February,21-Feb,Automobiles,"$1,590,992.20","116,000,000.00",Tesla to set up electric car manufacturing unit in southern India,https://www.reuters.com/article/tesla-india-electric/tesla-to-set-up-electric-car-manufacturing-unit-in-southern-india-idUSKBN2AD0MJ,,
Amazon,United States,Tamil Nadu,Test,2021,February,21-Feb,Technology/Electronics,,,Amazon to make Fire TV Stick devices in India in a mega boost to 'Atmanirbhar Bharat',https://www.livemint.com/technology/tech-news/amazon-to-manufacture-fire-tv-stick-in-india-from-this-year-11613465958900.html,,
Barrel Energy,United States,,Test,2021,February,21-Feb,Automobiles,,,US-Based Barrel Energy to Set Up Lithium-Ion Battery Manufacturing Facility in India,https://mercomindia.com/barrel-energy-set-up-battery-manufacturing/,,
Barco,Belgium,Telangana,Test,2021,February,21-Feb,Technology/Electronics,,,New Barco India R&D centre to bolster digital transformation,https://telanganatoday.com/new-barco-india-rd-centre-to-bolster-digital-transformation,,
Variety,China,India,Test,2021,February,21-Feb,State Investment,,,"Exclusive: India to clear 45 investments from China, likely to include Great Wall, SAIC - sources",https://www.reuters.com/article/india-china-investment-idUSL4N2KN1HJ,"-Great Wall and General Motors (GM) made a joint proposal last year seeking consent for the Chinese automaker to purchase the U.S. company’s car plant in India, in a deal expected to be valued at around $250-$300 million.
 -Great Wall, which plans to invest $1 billion in India over the next few years, said earlier that establishing operations in the country is a key part of its global strategy. It had planned to start selling cars in India from this year, and was also mulling bringing in electric vehicles.
 -SAIC, which started selling cars in India in 2019 under its British brand MG Motor, has invested around $400 million of the nearly $650 million it has committed to India and would need approval to bring more investment.
",
Ashok Leyland,India,Andhra Pradesh,Test,2021,February,21-Feb,Automobiles,,,Ashok Leyland commences production at new bus facility in Andra Pradesh,https://www.business-standard.com/article/companies/ashok-leyland-commences-production-at-new-bus-facility-in-andra-pradesh-121021900507_1.html,,
Bharat Forge/Paramount Group,India/South Africa,Businesses/Startups,Test,2021,February,21-Feb,Military/Space,,,Bharat Forge partners with Paramount Group to manufacture armoured vehicles in India,https://www.business-standard.com/article/news-cm/bharat-forge-partners-with-paramount-group-to-manufacture-armoured-vehicles-in-india-121022200851_1.html,,Yes
Xiaomi,China,Haryana,Test,2021,February,21-Feb,Technology/Electronics,,,Xiaomi to set up 3 plants to boost local production,https://www.livemint.com/companies/news/xiaomi-to-open-three-new-manufacturing-plants-in-india-11614236463981.html,,
Xiaomi,China,Tamil Nadu,Test,2021,February,21-Feb,Technology/Electronics,,,Xiaomi to set up 3 plants to boost local production,https://www.livemint.com/companies/news/xiaomi-to-open-three-new-manufacturing-plants-in-india-11614236463981.html,,
Xiaomi,China,Telangana,Test,2021,February,21-Feb,Technology/Electronics,,,Xiaomi to set up 3 plants to boost local production,https://www.livemint.com/companies/news/xiaomi-to-open-three-new-manufacturing-plants-in-india-11614236463981.html,,
Sun TV,India,Businesses/Startups,,2021,February,21-Feb,General Goods,"$68,577,250.00","5,000,000,000.00","Sun TV to invest Rs 500 cr in OTT and movies, strengthen regional channels",https://www.business-standard.com/article/companies/sun-tv-to-invest-rs-500-cr-in-ott-and-movies-strengthen-regional-channels-121020900916_1.html,,
Berger/Dhunseri,India,West Bengal,East,2021,February,21-Feb,Infrastructure,"$68,577,250.00","5,000,000,000.00","Berger, Dhunseri to invest Rs 500 cr in Bengal's Panagarh industrial park",https://www.businesstoday.in/current/corporate/berger-dhunseri-to-invest-rs-500-cr-in-bengal-panagarh-industrial-park/story/431794.html,,
Lenovo,India,Maharashtra,West,2021,March,21-Mar,Technology/Electronics,"$34,288.63","2,500,000.00",Lenovo to invest Rs 25 lakh in training 100 woman students in Mumbai,https://www.outlookindia.com/newsscroll/lenovo-to-invest-rs-25-lakh-in-training-100-woman-students-in-mumbai/2043747,,
Hungama/Hindustan Talkies,India,India,,2021,March,21-Mar,General Goods,"$500,000.00","36,455,250.00","Hungama, Hindustan Talkies invest in esports platform Indian Gaming League",https://www.livemint.com/companies/news/hungama-hindustan-talkies-invest-in-esports-platform-indian-gaming-league-11614755903431.html,,
Just Cavalli,Italy,India,,2021,March,21-Mar,General Goods,"$2,000,000.00","145,821,000.00",Just Cavalli watches to expand footprint in India via distribution,https://economictimes.indiatimes.com/industry/cons-products/fashion-/-cosmetics-/-jewellery/just-cavalli-watches-to-expand-footprint-in-india-via-distribution/articleshow/81485284.cms,,
CEAT,India,India,,2021,March,21-Mar,Automobiles,"$2,743,090.00","200,000,000.00","CEAT to invest Rs 20 cr for expanding sales, services outlets in Tier-II, III cities",https://auto.economictimes.indiatimes.com/news/tyres/ceat-to-invest-rs-20-cr-for-expanding-sales-services-outlets-in-tier-ii-iii-cities/81534904,,
Cisco,United States,Businesses/Startups,,2021,March,21-Mar,Businesses/Startups,"$5,000,000.00","364,552,500.00",Cisco to invest $3-5 million in Indian ‘enterprise SaaS' start-ups,https://www.thehindubusinessline.com/companies/cisco-to-invest-3-5-in-indian-enterprise-saas-start-ups/article34027193.ece,,
WoodenStreet,India,Rajasthan,North,2021,March,21-Mar,Infrastructure,"$5,000,000.00","364,552,500.00",WoodenStreet to invest $5 mn on warehouse expansion; hire 300 people,https://www.outlookindia.com/newsscroll/woodenstreet-to-invest-5-mn-on-warehouse-expansion-hire-300-people/2042943,,
Symbo Platform,Singapore,India,,2021,March,21-Mar,Businesses/Startups,"$9,400,000.00","685,358,700.00",Insurtech startup Symbo Platform raises $9.4 million to scale in India,https://www.livemint.com/companies/start-ups/insurtech-startup-symbo-platform-raises-9-4-million-to-scale-in-india-11614843010780.html,,
Addverb Technologies,India,Uttar Pradesh,North,2021,March,21-Mar,Technology/Electronics,"$10,286,587.50","750,000,000.00",Addverb Technologies inaugurates INR 75 Cr. Robots manufacturing facility “Bot-Valley” in Noida,https://www.crn.in/news/addverb-technologies-inaugurates-inr-75-cr-robots-manufacturing-facility-bot-valley-in-noida/,,
Gati-KWE,India,India,,2021,March,21-Mar,Infrastructure,"$13,715,450.00","1,000,000,000.00","Gati-KWE plans to invest Rs 100 cr in infra, tech development next fiscal",https://www.outlookindia.com/newsscroll/gatikwe-plans-to-invest-rs-100-cr-in-infra-tech-development-next-fiscal/2048219,,
CredR,India,India,,2021,March,21-Mar,Automobiles,"$15,086,995.00","1,100,000,000.00",CredR to invest about INR 110 crore in used 2W business in FY 21-22,https://auto.economictimes.indiatimes.com/news/two-wheelers/motorcycles/credr-to-invest-about-inr-110-crore-in-used-2w-business-in-fy-21-22/81411839,,
Eros Group,India,Uttar Pradesh,North,2021,March,21-Mar,Infrastructure,"$17,830,085.00","1,300,000,000.00",Eros group to invest Rs 130 crore in retail and residential project in Greater Noida,https://economictimes.indiatimes.com/industry/services/property-/-cstruction/eros-group-to-invest-rs-100-crore-to-develop-retail-project-in-greater-noida/articleshow/81512957.cms,,
Tiger Global,United States,Businesses/Startups,,2021,March,21-Mar,Businesses/Startups,"$20,000,000.00","1,458,210,000.00",Tiger Global in talks to invest in young Indian social network at $170M valuation,https://au.news.yahoo.com/tiger-global-talks-invest-young-023922356.html,,
PVR Cinemas,India,India,,2021,March,21-Mar,General Goods,"$20,573,175.00","1,500,000,000.00","PVR to invest Rs 150 crore to add 30-40 screens next fiscal; eyes 1,000 screens by FY23",https://www.tribuneindia.com/news/business/pvr-to-invest-rs-150-crore-to-add-30-40-screens-next-fiscal-eyes-1-000-screens-by-fy23-221891,,
Krafton,South Korea,Businesses/Startups,,2021,March,21-Mar,Businesses/Startups,"$22,400,000.00","1,633,195,200.00",PUBG Developer Krafton To Invest US$22.4 Million In Indian Esports Firm Nodwin,https://www.medianama.com/2021/03/223-pubg-mobile-krafton-nodwin/,,
Webasto,Germany,Maharashtra,West,2021,March,21-Mar,Automobiles,"$22,400,000.00","2,500,000,000.00",German auto parts major Webasto to set up factory for sunroofs in India,https://timesofindia.indiatimes.com/business/india-business/german-auto-parts-major-webasto-to-set-up-factory-for-sunroofs-in-india/articleshow/81388533.cms,,
Transworld Group,United Arab Emirates,Gujarat,West,2021,March,21-Mar,Infrastructure,"$27,430,900.00","2,000,000,000.00",Transworld Group to build a ₹200 crore container manufacturing facility in Gujarat,https://www.thehindubusinessline.com/economy/logistics/transworld-group-pushpak-logistics-to-build-200-crore-container-manufacturing-facility-in-gujarat/article33963108.ece,,
Amul,India,India,,2021,March,21-Mar,General Goods,"$27,430,900.00","2,000,000,000.00","Say cheese: Amul to start making buffalo mozzarella, invest Rs 200 crore",https://www.business-standard.com/article/companies/say-cheese-amul-to-start-making-buffalo-mozzarella-invest-rs-200-crore-121031100078_1.html,,
