Company,Company Country,India Investment Location,Region,Year,Month,Date,Category,Investment ($),Investmen(INR),Description,Link,State Investment/Variety Notes,Partnership
Valmet,Finland,Maharashtra,Test,2020,October,20-Oct,General Goods,,,Valmet to invest in filter fabric manufacturing in India,https://www.globalminingreview.com/finance-business/30102020/valmet-to-invest-in-filter-fabric-manufacturing-in-india/,,
IFC,International,India,,2020,October,20-Oct,Infrastructure,"$75,000,000.00","5,468,287,500.00",IFC to invest $75 mn in Indospace Logistics to develop industrial parks,https://www.business-standard.com/article/companies/ifc-to-invest-75-mn-in-indospace-logistics-to-develop-industrial-parks-120102000264_1.html,,
Torrent Gas,India,India,,2020,October,20-Oct,Industry,"$1,097,236,000.00","80,000,000,000.00","Torrent Gas to invest  ₹8,000 cr in city gas business, set up 500 CNG pumps",https://www.livemint.com/news/india/torrent-gas-to-invest-8-000-cr-in-city-gas-business-set-up-500-cng-pumps-11601976679382.html,,
Taxmantra,India,Businesses/Startups,,2020,October,20-Oct,Businesses/Startups,"$100,000,000.00","7,291,050,000.00","Taxmantra Launches $100 Mn Fund To Invest In India, Southeast Asian Tech Startups",https://www.startupnews.fyi/post/taxmantra-launches-100-mn-fund-to-invest-in-india-southeast-asian-tech-startups,,
Malabar Gold,India,India,,2020,October,20-Oct,General Goods,"$32,917,080.00","2,400,000,000.00","Malabar Gold to invest Rs 240 cr to open 9 showrooms in India, overseas",https://www.business-standard.com/article/companies/malabar-gold-to-invest-rs-240-cr-to-open-9-showrooms-in-india-overseas-120103001398_1.html,,
Wheels India,India,India,,2020,October,20-Oct,Industry,"$5,623,334.50","410,000,000.00",Wheels India to invest 41 crore in windmill parts business,https://timesofindia.indiatimes.com/business/india-business/wheels-india-toinvest-rs-41-crore-inwindmill-parts-biz/articleshow/78959615.cms,,
Micromax,India,India,,2020,October,20-Oct,Technology/Electronics,"$68,577,250.00","5,000,000,000.00","Micromax eyes comeback, to invest ₹500 cr.",https://www.thehindu.com/business/Industry/micromax-eyes-comeback-to-invest-500-cr/article32876347.ece,,
Brookfield,Canada,India,,2020,October,20-Oct,Infrastructure,"$2,000,000,000.00","145,821,000,000.00",Brookfield Makes Massive $2 Billion India Real Estate Investment,https://www.fool.com/investing/2020/10/19/brookfield-makes-massive-2-billion-india-real-esta/,,
GIC/TPG,Singapore,JIO/Reliance,,2020,October,20-Oct,JIO/Reliance,"$1,000,000,000.00","72,910,500,000.00",Singapore's GIC and TPG to invest over $1 billion in Reliance Retail,https://techcrunch.com/2020/10/02/singapore-gic-reliance-retail-ambani/,,
Mahindra & Mahindra,India,Telangana,South,2020,November,20-Nov,Automobiles,"$13,715,450.00","1,000,000,000.00",M&M to manufacture latest K2 tractor series in Telangana; to invest Rs 100 cr more,https://www.businesstoday.in/sectors/auto/mm-to-manufacture-latest-k2-tractor-series-in-telangana-to-invest-rs-100-cr-more/story/422183.html,,
